Timestamp;Parked;Latitude;Longitude;Speed;DestinationLatitude;DestinationLongitude;EnteredGeofence
2018-05-21 07:31:12.0;NO;-186,57;-161,22;7,206317;-256,832;-78,1083;NULL
2018-05-21 07:31:52.0;NO;-187,7217;-161,38;44,210728;-256,832;-78,1083;NULL
2018-05-21 07:32:12.0;NO;-190,6183;-161,5333;64,886505;-256,832;-78,1083;NULL
2018-05-21 07:32:32.0;NO;-193,3217;-161,6183;50,6184;-256,832;-78,1083;NULL
2018-05-21 07:32:52.0;NO;-195,7;-161,7016;43,462116;-256,832;-78,1083;NULL
2018-05-21 07:33:12.0;NO;-197,285;-161,7833;25,754847;-256,832;-78,1083;NULL
2018-05-21 07:33:32.0;NO;-198,8117;-162,0633;34,23047;-256,832;-78,1083;NULL
2018-05-21 07:34:12.0;NO;-201,9333;-163,32;39,511517;-256,832;-78,1083;NULL
2018-05-21 07:34:32.0;NO;-204,395;-164,63;58,71045;-256,832;-78,1083;NULL
2018-05-21 07:35:12.0;NO;-210,7083;-168,0616;80,49246;-256,832;-78,1083;NULL
2018-05-21 07:35:32.0;NO;-215,0617;-168,66;98,40171;-256,832;-78,1083;NULL
2018-05-21 07:35:52.0;NO;-219,6817;-166,8683;95,53512;-256,832;-78,1083;NULL
2018-05-21 07:36:12.0;NO;-223,7067;-165,1166;78,16139;-256,832;-78,1083;NULL
2018-05-21 07:36:32.0;NO;-227,5;-163,5816;78,54126;-256,832;-78,1083;NULL
2018-05-21 07:37:12.0;NO;-234,52;-160,4666;28,708529;-256,832;-78,1083;NULL
2018-05-21 07:37:32.0;NO;-235,705;-159,95;36,42998;-256,832;-78,1083;NULL
2018-05-21 07:37:52.0;NO;-238,31;-158,9433;59,75925;-256,832;-78,1083;NULL
2018-05-21 07:38:32.0;NO;-242,4567;-157,5183;24,23724;-256,832;-78,1083;NULL
2018-05-21 07:39:12.0;NO;-245,4133;-156,6066;39,837646;-256,832;-78,1083;NULL
2018-05-21 07:39:32.0;NO;-247,6083;-155,9616;56,798153;-256,832;-78,1083;NULL
2018-05-21 07:39:52.0;NO;-250,8383;-155,02;74,04031;-256,832;-78,1083;NULL
2018-05-21 07:40:32.0;NO;-259,375;-152,2833;60,763573;-256,832;-78,1083;NULL
2018-05-21 07:40:52.0;NO;-260,38;-151,8383;5,07722;-256,832;-78,1083;NULL
2018-05-21 07:41:12.0;NO;-261,665;-151,1216;36,939552;-256,832;-78,1083;NULL
2018-05-21 07:41:32.0;NO;-262,805;-150,2666;15,255749;-256,832;-78,1083;NULL
2018-05-21 07:41:52.0;NO;-263,4183;-149,72;12,574457;-256,832;-78,1083;NULL
2018-05-21 07:42:12.0;NO;-263,725;-149,4183;0;-256,832;-78,1083;NULL
2018-05-21 07:42:32.0;NO;-263,9067;-149,23;7,4601774;-256,832;-78,1083;NULL
2018-05-21 07:42:52.0;NO;-264,11;-149,0266;12,050058;-256,832;-78,1083;NULL
2018-05-21 07:43:12.0;NO;-264,8083;-148,235;14,407074;-256,832;-78,1083;NULL
2018-05-21 07:43:52.0;NO;-265,56;-147,27;4,210016;-256,832;-78,1083;NULL
2018-05-21 07:44:12.0;NO;-265,585;-147,2383;6,5855618;-256,832;-78,1083;NULL
2018-05-21 07:44:32.0;NO;-265,8883;-146,79;6,252022;-256,832;-78,1083;NULL
